no,nim,status_akhir,2018,2019,2020,2021
1,184172000118,1,3.65,3.60,3.56,3.66
2,184172000220,1,3.90,3.88,3.86,3.87
3,184172000317,1,3.56,3.61,3.67,3.74
4,184172000411,1,3.74,3.67,3.74,3.79
5,184172000520,1,3.79,3.68,3.71,3.74
6,184172000614,0,3.55,3.38,3.34,2.89
7,184172000720,0,3.21,3.26,3.20,3.11
8,184172000813,0,3.58,3.58,3.57,3.53
9,184172000920,1,3.32,3.29,3.39,3.46
10,184172001012,1,3.63,3.55,3.65,3.72
11,184172001118,1,3.50,3.41,3.36,3.46
12,184172001217,1,3.82,3.79,3.78,3.81
13,184172001314,1,3.26,3.25,3.36,3.36
14,184172001414,1,3.58,3.72,3.71,3.74
15,184172001512,1,3.36,3.32,3.39,3.47
16,184172001620,1,3.66,3.68,3.66,3.72
17,184172001717,1,3.57,3.44,3.54,3.60
18,184172001810,0,3.08,2.96,3.06,3.07
19,184172001919,1,3.93,3.92,3.94,3.96
20,184172002012,1,3.68,3.49,3.57,3.66
21,184172002116,1,3.14,3.18,3.21,3.21
22,184172002218,1,3.41,3.39,3.47,3.54
23,184172002310,1,3.63,3.57,3.61,3.64
24,184172002416,1,3.87,3.89,3.89,3.90
25,184172002512,0,3.42,3.45,3.52,3.50
26,184172002610,0,3.53,3.51,3.51,3.47
27,184172002715,1,2.99,3.02,3.02,3.03
28,184172002817,1,3.75,3.82,3.84,3.87
29,184172002920,1,3.52,3.49,3.50,3.51
30,184172003016,1,3.43,3.37,3.43,3.50
31,184172003110,0,0.00,0.00,0.00,0.00
32,184172003216,1,3.15,3.14,3.23,3.29
33,184172003316,1,3.78,3.73,3.75,3.72
34,184172003416,1,3.88,3.79,3.72,3.74
35,184172003516,0,0.00,0.00,0.00,0.00
36,184172003617,1,3.68,3.59,3.56,3.61
37,184172003720,1,3.25,3.22,3.26,3.26
38,184172003810,0,0.00,0.00,0.00,0.00
39,184172003910,0,3.26,2.95,2.89,2.73
40,184172004014,0,3.73,3.62,3.68,3.62
41,184172004116,1,3.98,3.93,3.92,3.91
42,184172004210,0,3.82,3.66,3.57,3.45
43,184172004318,1,3.89,3.81,3.83,3.84
44,184172004410,1,3.90,3.84,3.83,3.83
45,184172004511,1,3.71,3.72,3.70,3.70
46,184172004615,1,2.97,3.05,3.17,3.09
47,184172004718,0,3.18,3.11,3.21,3.29
48,184172004813,1,3.68,3.66,3.70,3.75
49,184172004919,1,3.48,3.51,3.55,3.63
50,184172005018,0,0.00,0.00,0.00,0.00
51,184172005111,1,3.85,3.84,3.83,3.87
52,184172005217,1,3.55,3.51,3.57,3.64
53,184172005314,1,3.10,3.18,3.12,3.26
54,184172005417,1,3.76,3.71,3.72,3.76
55,184172005520,0,0.00,0.00,0.00,0.00
56,184172005610,0,0.00,0.00,0.00,0.00
57,184172005714,1,3.05,3.16,3.26,3.34
58,184172005810,0,3.65,3.65,3.69,3.64
59,184172005918,1,3.67,3.63,3.68,3.73
60,184172006020,1,3.74,3.76,3.76,3.80
61,184172006116,1,3.28,3.33,3.36,3.42
62,184172006211,1,3.11,3.32,3.44,3.55
63,184172006316,0,0.00,0.00,0.00,0.00
64,184172006413,0,3.33,3.25,3.40,3.39
65,184172006519,1,3.27,3.33,3.34,3.36
66,184172006616,1,3.40,3.34,3.46,3.55
67,184172006710,0,0.00,0.00,0.00,0.00
68,184172006817,1,3.57,3.59,3.58,3.62
69,184172006920,0,3.82,3.82,3.73,3.60
70,184172007013,1,3.34,3.24,3.29,3.28
71,184172007115,0,0.00,0.00,0.00,0.00
72,184172007216,1,3.53,3.58,3.55,3.63
73,184172007317,1,2.74,2.73,2.76,2.71
74,184172007412,1,3.21,3.33,3.42,3.53
75,184172007516,1,2.84,2.95,2.97,2.94
76,184172007618,1,3.82,3.90,3.91,3.94
77,184172007715,0,2.61,2.70,2.68,2.52
78,184172007811,1,3.45,3.54,3.59,3.52
79,184172007912,0,3.34,3.52,3.59,3.52
80,184172008013,1,3.51,3.34,3.31,3.18
81,184172008118,1,3.47,3.50,3.63,3.70
82,184172008215,1,3.37,3.32,3.45,3.56
83,184172008319,1,3.47,3.47,3.50,3.51
84,184172008417,1,3.22,3.32,3.47,3.58
85,184172008516,1,3.42,3.53,3.63,3.65
86,184172008610,1,3.00,3.02,3.17,3.30
87,184172008711,1,3.89,3.94,3.92,3.92
88,184172008818,1,3.38,3.42,3.46,3.52
89,184172008920,1,3.16,3.09,3.18,3.29
90,184172009018,1,3.62,3.65,3.59,3.63
91,184172009111,0,2.85,1.40,0.00,0.00
92,184172009213,1,3.40,3.25,3.39,3.48
93,184172009318,0,0.00,0.00,0.00,0.00
94,184172009415,1,3.19,3.29,3.46,3.54
95,184172009513,1,3.48,3.51,3.51,3.55
96,184172009618,1,3.39,3.32,3.31,3.33
97,184172009717,1,3.28,3.31,3.45,3.50
98,184172009818,1,3.53,3.55,3.59,3.64
99,184172009914,1,3.53,3.63,3.66,3.72
100,184172010011,1,3.58,3.53,3.54,3.51
101,184172010118,0,3.25,2.75,0.00,0.00
102,184172010217,1,3.34,3.44,3.57,3.65
103,184172010319,0,0.20,0.00,0.00,0.00
104,184172010410,1,3.43,3.43,3.36,3.30
105,184172010515,1,3.38,3.47,3.51,3.59
106,184172010616,0,0.00,0.00,0.00,0.00
107,184172010717,0,3.55,3.53,3.59,3.55
108,184172010820,1,3.80,3.82,3.78,3.82
109,184172010916,1,3.66,3.34,3.18,3.23
110,184172011014,1,3.54,3.61,3.55,3.62
111,184172011120,1,3.34,3.29,3.40,3.51
112,184172011213,0,3.63,3.46,3.53,3.47
113,184172011314,1,3.59,3.57,3.58,3.63
114,184172011416,0,2.82,2.78,1.39,0.00
115,184172011516,1,3.08,2.99,2.95,2.91
116,184172011620,1,3.02,3.14,3.14,3.07
117,184172011716,1,3.35,3.25,3.32,3.42
118,184172011816,1,2.93,2.94,3.09,3.16
119,184172011918,0,0.00,0.00,0.00,0.00
120,184172012011,1,3.36,3.25,3.38,3.48
121,184172012114,0,3.04,3.22,3.38,3.39
122,184172012217,0,3.16,3.00,3.16,3.17
123,184172012315,1,3.31,3.40,3.44,3.48
124,184172012418,1,3.27,3.30,3.32,3.27
125,184172012519,1,3.39,3.41,3.40,3.47
126,184172012615,1,3.36,3.43,3.46,3.54
127,184172012714,0,2.70,2.76,2.89,2.89
128,184172012815,1,3.28,3.31,3.45,3.53
129,184172012910,1,3.51,3.46,3.56,3.64
130,184172013113,1,3.51,3.39,3.42,3.51
131,184172013213,1,3.22,3.34,3.35,3.42
132,184172013310,1,3.37,3.27,3.41,3.48
133,184172013418,1,3.14,3.29,3.31,3.41
134,184172013515,1,3.34,3.51,3.53,3.58
135,184172013617,1,3.25,3.09,3.17,3.10
136,184172013717,0,2.68,2.76,2.75,2.70
137,184172013813,1,3.53,3.43,3.49,3.49
138,184172013914,1,3.52,3.49,3.52,3.55
139,184172014012,1,3.03,3.01,3.01,2.96
140,184172014115,0,3.36,1.69,0.00,0.00
141,184172014215,0,3.56,3.58,3.57,0.00
142,184172014317,1,3.34,3.37,3.39,3.31
143,184172014411,1,3.17,3.36,3.49,3.57
144,184172014519,0,0.00,0.00,0.00,0.00
145,184172014612,1,3.32,3.37,3.48,3.58
146,184172014712,1,3.13,3.11,3.30,3.41
147,184172014810,1,3.78,3.76,3.80,3.75
148,184172014913,0,2.71,2.78,2.70,2.65
149,184172015015,1,3.05,3.14,3.24,3.30
150,184172015115,1,3.36,3.31,3.44,3.51
151,184172015214,1,3.58,3.54,3.63,3.68
152,184172015313,1,3.63,3.55,3.61,3.64
153,184172015411,1,3.38,3.31,3.41,3.45
154,184172015516,1,3.50,3.55,3.65,3.71
155,184172015615,1,3.03,3.11,3.27,3.29
156,184172015715,1,3.12,3.27,3.40,3.42
157,184172015813,1,3.93,3.90,3.93,3.95
158,184172015919,1,3.42,3.46,3.50,3.60
159,184172016013,1,3.32,3.34,3.50,3.59
160,184172016113,0,2.78,2.57,2.59,2.54
161,184172016218,1,3.19,3.09,3.20,3.35
162,184172016319,1,0.00,3.52,3.65,3.62
163,184172016414,1,3.74,3.68,3.73,3.79
164,184172016511,1,3.47,3.51,3.47,3.52
165,184172016611,1,3.37,3.44,3.56,3.61
166,184172016710,1,3.26,3.25,3.37,3.48
167,184172016817,1,3.87,3.77,3.72,3.72
168,184172016919,1,3.79,3.76,3.74,3.67
169,184172017011,1,3.42,3.41,3.33,3.21
170,184172017110,1,3.36,3.20,3.28,3.23
171,184172017216,1,3.19,3.24,3.37,3.46
172,184172017315,1,3.57,3.67,3.72,3.78
173,184172017412,0,3.11,3.22,3.36,3.22
174,184172017517,1,3.67,3.64,3.67,3.72
175,184172017614,1,3.58,3.54,3.62,3.62
176,184172017720,0,3.05,3.12,3.23,3.22
177,184172017811,1,3.11,3.17,3.30,3.37
178,184172017920,1,3.69,3.47,3.51,3.56
179,184172018020,1,3.36,3.42,3.47,3.55
180,184172018110,1,2.83,2.82,2.88,2.93
181,184172018212,1,3.79,3.69,3.70,3.77
182,184172018314,1,3.36,3.28,3.43,3.50
183,184172018413,1,3.82,3.81,3.80,3.82
184,184172018515,1,3.75,3.75,3.77,3.80
185,184172018619,1,3.17,3.05,3.14,3.15
186,184172018718,1,3.26,3.30,3.47,3.55
187,184172018819,1,3.93,3.87,3.89,3.90
188,184172018917,1,3.62,3.59,3.59,3.65
189,184172019018,1,2.81,2.90,3.05,3.19
190,184172019116,0,3.19,2.99,2.95,2.95
191,184172019214,1,3.55,3.64,3.71,3.75
192,184172019312,1,3.09,3.20,3.34,3.38
193,184172019410,1,3.78,3.82,3.83,3.86
194,184172019520,1,3.14,3.31,3.39,3.49
195,184172019617,1,3.24,3.11,3.16,3.23
196,184172019717,1,3.47,3.45,3.57,3.63
197,184172019816,1,3.55,3.49,3.58,3.62
198,184172019912,1,3.37,3.26,3.35,3.47
199,184172020012,0,2.99,3.10,3.23,3.06
200,184172020114,1,3.19,2.99,3.09,3.12
201,184172020215,1,3.53,3.58,3.65,3.72
202,184172020320,0,0.00,0.00,0.00,0.00
203,184172020412,0,2.35,0.00,0.00,0.00
204,184172020520,1,3.53,3.49,3.52,3.60
205,184172020610,0,3.56,3.47,1.73,0.00
206,184172020717,1,3.37,3.37,3.39,3.41
207,184172020817,1,3.74,3.66,3.64,3.70
208,184172020919,1,3.13,3.24,3.32,3.39
209,184172021011,1,3.17,3.26,3.26,3.31
210,184172021112,1,3.60,3.59,3.64,3.68
211,184172021213,1,3.49,3.39,3.43,3.56
212,184172021318,1,3.99,3.97,3.97,3.98
213,184172021413,0,3.85,3.68,3.35,3.15
214,184172021517,1,3.43,3.55,3.55,3.61
215,184172021620,1,3.68,3.64,3.66,3.73
216,184172021720,1,3.70,3.74,3.74,3.80
217,184172021811,1,3.62,3.69,3.75,3.67
218,184172021911,0,2.80,2.79,2.58,2.49
219,184172022011,1,3.67,3.67,3.66,3.68
220,184172022118,1,3.74,3.72,3.66,3.59
221,184172022218,1,3.41,3.36,3.40,3.37
222,184172022313,1,3.67,3.56,3.51,3.51
223,184172022418,1,3.02,2.93,2.94,3.01
224,184172022513,0,2.82,0.00,0.00,0.00
225,184172022615,1,3.42,3.42,3.50,3.54
